Time(s),CH1(V),CH4(V)
9.6000E-09,-3.714712E-02,-2.141200E-04
9.8000E-09,-3.714712E-02,-2.141200E-04
1.0000E-08,-7.429424E-02,2.141200E-04
1.0200E-08,-7.429424E-02,0.000000E+00
1.0400E-08,-7.429424E-02,0.000000E+00
1.0600E-08,-7.429424E-02,2.141200E-04
1.0800E-08,-7.429424E-02,2.141200E-04
1.1000E-08,-7.429424E-02,0.000000E+00
1.1200E-08,-7.429424E-02,0.000000E+00
1.1400E-08,-7.429424E-02,0.000000E+00
1.1600E-08,-7.429424E-02,0.000000E+00
1.1800E-08,-7.429424E-02,0.000000E+00
1.2000E-08,-7.429424E-02,0.000000E+00
1.2200E-08,-7.429424E-02,0.000000E+00
1.2400E-08,-7.429424E-02,-2.141200E-04
1.2600E-08,-7.429424E-02,0.000000E+00
1.2800E-08,-7.429424E-02,2.141200E-04
1.3000E-08,-7.429424E-02,0.000000E+00
1.3200E-08,-7.429424E-02,-2.141200E-04
1.3400E-08,-7.429424E-02,0.000000E+00
1.3600E-08,-7.429424E-02,0.000000E+00
1.3800E-08,-7.429424E-02,0.000000E+00
1.4000E-08,-3.714712E-02,2.141200E-04
1.4200E-08,-3.714712E-02,0.000000E+00
1.4400E-08,-3.714712E-02,0.000000E+00
1.4600E-08,-3.714712E-02,-2.141200E-04
1.4800E-08,-3.714712E-02,-4.282400E-04
1.5000E-08,-3.714712E-02,-2.141200E-04
1.5200E-08,-3.714712E-02,0.000000E+00
1.5400E-08,-7.429424E-02,2.141200E-04
1.5600E-08,-3.714712E-02,2.141200E-04
1.5800E-08,-3.714712E-02,-2.141200E-04
1.6000E-08,-3.714712E-02,-2.141200E-04
1.6200E-08,-3.714712E-02,2.141200E-04
1.6400E-08,-3.714712E-02,2.141200E-04
1.6600E-08,-3.714712E-02,2.141200E-04
1.6800E-08,-3.714712E-02,2.141200E-04
1.7000E-08,-3.714712E-02,2.141200E-04
1.7200E-08,-3.714712E-02,0.000000E+00
1.7400E-08,0.000000E+00,0.000000E+00
1.7600E-08,0.000000E+00,0.000000E+00
1.7800E-08,0.000000E+00,0.000000E+00
1.8000E-08,0.000000E+00,4.282400E-04
1.8200E-08,0.000000E+00,4.282400E-04
1.8400E-08,0.000000E+00,0.000000E+00
1.8600E-08,0.000000E+00,0.000000E+00
1.8800E-08,0.000000E+00,2.141200E-04
1.9000E-08,-3.714712E-02,0.000000E+00
1.9200E-08,-3.714712E-02,0.000000E+00
1.9400E-08,-3.714712E-02,0.000000E+00
1.9600E-08,-3.714712E-02,2.141200E-04
1.9800E-08,-3.714712E-02,2.141200E-04
2.0000E-08,-3.714712E-02,2.141200E-04
2.0200E-08,-3.714712E-02,-2.141200E-04
2.0400E-08,-3.714712E-02,-4.282400E-04
2.0600E-08,-3.714712E-02,0.000000E+00
2.0800E-08,-3.714712E-02,2.141200E-04
2.1000E-08,-3.714712E-02,0.000000E+00
2.1200E-08,-3.714712E-02,0.000000E+00
2.1400E-08,-3.714712E-02,0.000000E+00
2.1600E-08,-3.714712E-02,2.141200E-04
2.1800E-08,-3.714712E-02,0.000000E+00
2.2000E-08,-3.714712E-02,4.282400E-04
2.2200E-08,-3.714712E-02,6.423600E-04
2.2400E-08,-3.714712E-02,2.141200E-04
2.2600E-08,-7.429424E-02,-2.141200E-04
2.2800E-08,-7.429424E-02,-2.141200E-04
2.3000E-08,-7.429424E-02,0.000000E+00
2.3200E-08,-1.114414E-01,0.000000E+00
2.3400E-08,-1.114414E-01,2.141200E-04
2.3600E-08,-1.114414E-01,4.282400E-04
2.3800E-08,-1.485885E-01,0.000000E+00
2.4000E-08,-1.485885E-01,-2.141200E-04
2.4200E-08,-1.485885E-01,-2.141200E-04
2.4400E-08,-1.485885E-01,2.141200E-04
2.4600E-08,-1.114414E-01,2.141200E-04
2.4800E-08,-1.114414E-01,0.000000E+00
2.5000E-08,-1.485885E-01,0.000000E+00
2.5200E-08,-1.114414E-01,0.000000E+00
2.5400E-08,-1.114414E-01,2.141200E-04
2.5600E-08,-1.114414E-01,0.000000E+00
2.5800E-08,-1.114414E-01,0.000000E+00
2.6000E-08,-1.114414E-01,2.141200E-04
2.6200E-08,-1.114414E-01,0.000000E+00
2.6400E-08,-1.114414E-01,-2.141200E-04
2.6600E-08,-1.114414E-01,0.000000E+00
2.6800E-08,-1.114414E-01,0.000000E+00
2.7000E-08,-1.114414E-01,-2.141200E-04
2.7200E-08,-1.114414E-01,0.000000E+00
2.7400E-08,-1.114414E-01,0.000000E+00
2.7600E-08,-1.114414E-01,2.141200E-04
2.7800E-08,-1.114414E-01,2.141200E-04
2.8000E-08,-1.114414E-01,2.141200E-04
2.8200E-08,-1.114414E-01,2.141200E-04
2.8400E-08,-1.114414E-01,2.141200E-04
2.8600E-08,-1.114414E-01,2.141200E-04
2.8800E-08,-1.114414E-01,0.000000E+00
2.9000E-08,-1.114414E-01,-2.141200E-04
2.9200E-08,-1.114414E-01,-2.141200E-04
2.9400E-08,-1.114414E-01,-2.141200E-04
2.9600E-08,-1.114414E-01,0.000000E+00
2.9800E-08,-1.114414E-01,2.141200E-04
3.0000E-08,-1.114414E-01,2.141200E-04
3.0200E-08,-1.114414E-01,0.000000E+00
3.0400E-08,-1.114414E-01,0.000000E+00
3.0600E-08,-1.114414E-01,4.282400E-04
3.0800E-08,-1.114414E-01,4.282400E-04
3.1000E-08,-1.114414E-01,0.000000E+00
3.1200E-08,-1.114414E-01,0.000000E+00
3.1400E-08,-1.114414E-01,2.141200E-04
3.1600E-08,-1.114414E-01,0.000000E+00
3.1800E-08,-1.114414E-01,-4.282400E-04
3.2000E-08,-7.429424E-02,-2.141200E-04
3.2200E-08,-1.114414E-01,2.141200E-04
3.2400E-08,-1.114414E-01,0.000000E+00
3.2600E-08,-1.114414E-01,0.000000E+00
3.2800E-08,-1.114414E-01,0.000000E+00
3.3000E-08,-1.114414E-01,2.141200E-04
3.3200E-08,-1.114414E-01,0.000000E+00
3.3400E-08,-7.429424E-02,-4.282400E-04
3.3600E-08,-7.429424E-02,-4.282400E-04
3.3800E-08,-7.429424E-02,-2.141200E-04
3.4000E-08,-7.429424E-02,0.000000E+00
3.4200E-08,-7.429424E-02,-2.141200E-04
3.4400E-08,-7.429424E-02,-4.282400E-04
3.4600E-08,-1.114414E-01,2.141200E-04
3.4800E-08,-1.114414E-01,4.282400E-04
3.5000E-08,-1.114414E-01,0.000000E+00
3.5200E-08,-7.429424E-02,0.000000E+00
3.5400E-08,-7.429424E-02,2.141200E-04
3.5600E-08,-3.714712E-02,0.000000E+00
3.5800E-08,-3.714712E-02,-2.141200E-04
3.6000E-08,-3.714712E-02,0.000000E+00
3.6200E-08,-3.714712E-02,-2.141200E-04
3.6400E-08,-7.429424E-02,-2.141200E-04
3.6600E-08,-7.429424E-02,0.000000E+00
3.6800E-08,-7.429424E-02,0.000000E+00
3.7000E-08,-7.429424E-02,2.141200E-04
3.7200E-08,-7.429424E-02,0.000000E+00
3.7400E-08,-7.429424E-02,-2.141200E-04
3.7600E-08,-7.429424E-02,2.141200E-04
3.7800E-08,-7.429424E-02,2.141200E-04
3.8000E-08,-7.429424E-02,0.000000E+00
3.8200E-08,-7.429424E-02,-2.141200E-04
3.8400E-08,-7.429424E-02,0.000000E+00
3.8600E-08,-7.429424E-02,2.141200E-04
3.8800E-08,-7.429424E-02,2.141200E-04
3.9000E-08,-7.429424E-02,-2.141200E-04
3.9200E-08,-7.429424E-02,-2.141200E-04
3.9400E-08,-7.429424E-02,0.000000E+00
3.9600E-08,-1.114414E-01,-2.141200E-04
3.9800E-08,-1.114414E-01,-2.141200E-04
4.0000E-08,-7.429424E-02,0.000000E+00
4.0200E-08,-7.429424E-02,0.000000E+00
4.0400E-08,-7.429424E-02,0.000000E+00
4.0600E-08,-7.429424E-02,2.141200E-04
4.0800E-08,-7.429424E-02,0.000000E+00
4.1000E-08,-7.429424E-02,2.141200E-04
4.1200E-08,-7.429424E-02,2.141200E-04
4.1400E-08,-1.114414E-01,0.000000E+00
4.1600E-08,-1.114414E-01,0.000000E+00
4.1800E-08,-1.114414E-01,0.000000E+00
4.2000E-08,-1.114414E-01,0.000000E+00
4.2200E-08,-1.114414E-01,0.000000E+00
4.2400E-08,-1.114414E-01,0.000000E+00
4.2600E-08,-1.114414E-01,2.141200E-04
4.2800E-08,-1.114414E-01,2.141200E-04
4.3000E-08,-1.114414E-01,2.141200E-04
